"id","chart_template_id/id","code_prefix_start","code_prefix_end","name"
"kp_rrif_acc_group_0","l10n_hr_coa_rrif_2015_template","01","09","0 - POTRAŽIVANJA ZA UPISANI KAPITAL I DUGOTRAJNA IMOVINA"
"kp_rrif_acc_group_00","l10n_hr_coa_rrif_2015_template","001","009","00 - POTRAŽIVANJA ZA UPISANI A NEUPLAĆENI KAPITAL"
"kp_rrif_acc_group_01","l10n_hr_coa_rrif_2015_template","011","019","01 - NEMATERIJALNA IMOVINA"
"kp_rrif_acc_group_010","l10n_hr_coa_rrif_2015_template","0101","0109","010 - Izdatci za razvoj"
"kp_rrif_acc_group_011","l10n_hr_coa_rrif_2015_template","0111","0119","011 - Koncesije, patenti, licencije, robne i uslužne marke"
"kp_rrif_acc_group_012","l10n_hr_coa_rrif_2015_template","0121","0129","012 - Softver i ostala prava"
"kp_rrif_acc_group_0120","l10n_hr_coa_rrif_2015_template","01201","01209","0120 - Softwer"
"kp_rrif_acc_group_0121","l10n_hr_coa_rrif_2015_template","01211","01219","0121 - Nematerijalna dugotrajna prava"
"kp_rrif_acc_group_0122","l10n_hr_coa_rrif_2015_template","01221","01229","0122 - Ostala prava"
"kp_rrif_acc_group_013","l10n_hr_coa_rrif_2015_template","0131","0139","013 - Goodwill"
"kp_rrif_acc_group_014","l10n_hr_coa_rrif_2015_template","0141","0149","014 - Ostala nematerijalna imovina"
"kp_rrif_acc_group_015","l10n_hr_coa_rrif_2015_template","0151","0159","015 - Predujmovi za nabavu nematerijalne imovine"
"kp_rrif_acc_group_016","l10n_hr_coa_rrif_2015_template","0161","0169","016 - Nematerijalna imovina u pripremi (analitika prema vrsti računa skupine 01)"
"kp_rrif_acc_group_018","l10n_hr_coa_rrif_2015_template","0181","0189","018 - Vrijednosno usklađenje nematerijalne imovine (analitika prema vrsti računa skupine 01)"
"kp_rrif_acc_group_019","l10n_hr_coa_rrif_2015_template","0191","0199","019 - Akumulirana amortizacija nematerijalne imovine"
"kp_rrif_acc_group_02","l10n_hr_coa_rrif_2015_template","021","029","02 - MATERIJALNA IMOVINA - NEKRETNINE"
"kp_rrif_acc_group_020","l10n_hr_coa_rrif_2015_template","0201","0209","020 - Zemljišta"
"kp_rrif_acc_group_021","l10n_hr_coa_rrif_2015_template","0211","0219","021 - Zemljišna prava (višegodišnja)"
"kp_rrif_acc_group_023","l10n_hr_coa_rrif_2015_template","0231","0239","023 - Građevinski objekti (za vlastite potrebe)"
"kp_rrif_acc_group_024","l10n_hr_coa_rrif_2015_template","0241","0249","024 - Stanovi za vlastite zaposlenike"
"kp_rrif_acc_group_026","l10n_hr_coa_rrif_2015_template","0261","0269","026 - Predujmovi za nabavu nekretnina"
"kp_rrif_acc_group_027","l10n_hr_coa_rrif_2015_template","0271","0279","027 - Nekretnine u pripremi"
"kp_rrif_acc_group_028","l10n_hr_coa_rrif_2015_template","0281","0289","028 - Vrijednosno usklađenje nekretnina"
"kp_rrif_acc_group_029","l10n_hr_coa_rrif_2015_template","0291","0299","029 - Akumulirana amortizacija građevina"
"kp_rrif_acc_group_03","l10n_hr_coa_rrif_2015_template","031","039","03 - POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA"
"kp_rrif_acc_group_030","l10n_hr_coa_rrif_2015_template","0301","0309","030 - Postrojenja"
"kp_rrif_acc_group_031","l10n_hr_coa_rrif_2015_template","0311","0319","031 - Oprema"
"kp_rrif_acc_group_032","l10n_hr_coa_rrif_2015_template","0321","0329","032 - Alati, pogonski inventar i transportna imovina"
"kp_rrif_acc_group_0320","l10n_hr_coa_rrif_2015_template","03201","03209","0320 - Transportna imovina"
"kp_rrif_acc_group_0321","l10n_hr_coa_rrif_2015_template","03211","03219","0321 - Pokućstvo - inventar"
"kp_rrif_acc_group_033","l10n_hr_coa_rrif_2015_template","0331","0339","033 - Pretporez koji se ne može odbiti (kao dio vrijed. os. aut.)"
"kp_rrif_acc_group_034","l10n_hr_coa_rrif_2015_template","0341","0349","034 - Poljoprivredna oprema i mehanizacija"
"kp_rrif_acc_group_035","l10n_hr_coa_rrif_2015_template","0351","0359","035 - Ostala materijalna imovina"
"kp_rrif_acc_group_036","l10n_hr_coa_rrif_2015_template","0361","0369","036 - Predujmovi za materijalnu imovinu"
"kp_rrif_acc_group_037","l10n_hr_coa_rrif_2015_template","0371","0379","037 - Materijalna imovina u pripremi"
"kp_rrif_acc_group_038","l10n_hr_coa_rrif_2015_template","0381","0389","038 - Vrijednosno usklađenje postrojenja i opreme"
"kp_rrif_acc_group_039","l10n_hr_coa_rrif_2015_template","0391","0399","039 - Akumulirana amortizacija postrojenja i opreme"
"kp_rrif_acc_group_04","l10n_hr_coa_rrif_2015_template","041","049","04 - BIOLOŠKA IMOVINA"
"kp_rrif_acc_group_040","l10n_hr_coa_rrif_2015_template","0401","0409","040 - Biološka imovina - bilje - višegodišnji nasadi"
"kp_rrif_acc_group_041","l10n_hr_coa_rrif_2015_template","0411","0419","041 - Biološka imovina - životinje - osnovno stado"
"kp_rrif_acc_group_046","l10n_hr_coa_rrif_2015_template","0461","0469","046 - Predujmovi za biološku imovinu"
"kp_rrif_acc_group_047","l10n_hr_coa_rrif_2015_template","0471","0479","047 - Biološka imovina u pripremi"
"kp_rrif_acc_group_048","l10n_hr_coa_rrif_2015_template","0481","0489","048 - Vrijednosno usklađenje biološke imovine"
"kp_rrif_acc_group_049","l10n_hr_coa_rrif_2015_template","0491","0499","049 - Akumulirana amortizacija biološke imovine"
"kp_rrif_acc_group_05","l10n_hr_coa_rrif_2015_template","051","059","05 - ULAGANJA U NEKRETNINE"
"kp_rrif_acc_group_050","l10n_hr_coa_rrif_2015_template","0501","0509","050 - Ulaganja u nekretnine - zemljišta"
"kp_rrif_acc_group_051","l10n_hr_coa_rrif_2015_template","0511","0519","051 - Ulaganja u nekretnine - građevine"
"kp_rrif_acc_group_056","l10n_hr_coa_rrif_2015_template","0561","0569","056 - Predujmovi za ulaganja u nekretnine"
"kp_rrif_acc_group_057","l10n_hr_coa_rrif_2015_template","0571","0579","057 - Ulaganja u nekretnine u pripremi"
"kp_rrif_acc_group_058","l10n_hr_coa_rrif_2015_template","0581","0589","058 - Vrijednosno usklađenje ulaganja u nekretnine"
"kp_rrif_acc_group_059","l10n_hr_coa_rrif_2015_template","0591","0599","059 - Akumulirana amortizacija ulaganja u građevine"
"kp_rrif_acc_group_06","l10n_hr_coa_rrif_2015_template","061","069","06 - DUGOTRAJNA FINANCIJSKA IMOVINA (s povratom dužim od jedne godine)"
"kp_rrif_acc_group_060","l10n_hr_coa_rrif_2015_template","0601","0609","060 - Udjeli (dionice) kod povezanih poduzetnika (s više od 20% udjela)"
"kp_rrif_acc_group_061","l10n_hr_coa_rrif_2015_template","0611","0619","061 - Dani zajmovi povezanim poduzetnicima (analitika po društvima u kojima se ima više od 20% udjela)"
"kp_rrif_acc_group_062","l10n_hr_coa_rrif_2015_template","0621","0629","062 - Sudjelujući interesi (udjeli)"
"kp_rrif_acc_group_063","l10n_hr_coa_rrif_2015_template","0631","0639","063 - Zajmovi dani poduzetnicima u kojima postoje sudjelujući interesi (do 20% udjela u T.K.)"
