key;account;raèun
0;RECEIVABLES FOR  ISSUED CAPITAL AND NON-CURRENT ASSETS;POTRAŽIVANJA ZA UPISANI KAPITAL I DUGOTRAJNA IMOVINA
00;RECEIVABLES FOR RECORDED BUT NOT PAID IN CAPITAL AND NON-CURRENT FINANCIAL ASSETS;POTRAŽIVANJA ZA UPISANI A NEUPLAÆENI KAPITAL
000;Receivables for recoded but not paid in capital in joint-stock company (analytics by shareholders);Potraživanja za upisani a neuplaæeni dionièki kapital (analitika po upisnicima)
001;Receivables for repeated share issues for recoded but not paid capital (analytics by share issues);Potraživanja iz ponovljene emisije dionica za upisane a neuplaæene svote kapitala (razrada po emisijama dionica)
002;Receivables for recoded but not paid in capital in private limited company (analytics by owners);Potraživanja za upisani a neuplaæeni kapital u d.o.o. (analitika po èlanovima društva)
003;Receivables for stake in capital of limited partnership;Potraživanja za temeljni ulog komanditora
004;Receivables for other business stakes in capital;Potraživanje za ostale uloge u kapital
01;INTANGIBLE ASSET;NEMATERIJALNA IMOVINA
010;Research and development;Izdatci za razvoj
011;Concession rights, patents, commodity and service brands;Koncesije, patenti, licencije, robne i uslužne marke
012;Software and other rights;Softver i ostala prava
013;Goodwill;Goodwill
014;Other intangible assets;Ostala nematerijalna imovina
015;Advance payments for purchase of intangible assets;Predujmovi za nabavu nematerijalne imovine
016;Cryptocurencies;Kriptovalute
017;Intangible assets in preparation;Nematerijalna imovina u pripremi (analitika prema vrsti raèuna skupine 01)
018;Value adjustment of intangible assets;Vrijednosno usklaðenje nematerijalne imovine (analitika prema vrsti raèuna skupine 01)
019;Accumulated depreciation of intangible assets;Akumulirana amortizacija nematerijalne imovine
02;LAND AND BUILDINGS;MATERIJALNA IMOVINA - NEKRETNINE
020;Land;Zemljišta
021;Rights to use land;Zemljišna prava (višegodišnja)
023;Buildings;Graðevinski objekti (za vlastite potrebe)
024;Flats for employees;Stanovi za vlastite zaposlenike
026;Advance payments for purchase of land and buildings;Predujmovi za nabavu nekretnina
027;Land and buildings under construction;Nekretnine u pripremi
028;Value adjustment of land and buildings;Vrijednosno usklaðenje nekretnina
029;Accumulated depreciation of buildings;Akumulirana amortizacija graðevina
03;PLANT, EQUIPMENT, TOOLS AND TRANSPORTATION VEHICLES;POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA
